Original ASF,Rounding ASF,Sort Code Name_encoded,Destination Station_encoded,Next Station_encoded
55900.0,55900.0,182,67,16
48800.0,48800.0,163,35,35
28400.0,28400.0,44,121,35
14700.0,14700.0,190,98,29
20300.0,20300.0,53,106,7
18300.0,18300.0,57,24,10
18300.0,18300.0,261,145,7
18300.0,18300.0,118,54,7
34600.0,34600.0,262,99,16
18300.0,18300.0,76,157,42
14200.0,14200.0,166,62,37
21300.0,21300.0,51,16,5
11000.0,11000.0,152,76,35
19000.0,19000.0,43,156,8
19800.0,19800.0,195,44,35
11200.0,11200.0,211,85,35
10100.0,10100.0,240,20,37
9100.0,9100.0,40,103,37
11500.0,11500.0,281,96,24
16200.0,16200.0,256,42,29
23400.0,23400.0,97,42,13
21300.0,21300.0,218,157,42
15200.0,15200.0,240,20,37
21300.0,21300.0,292,155,29
21300.0,21300.0,110,30,9
10100.0,10100.0,120,9,13
11200.0,11200.0,274,130,35
9100.0,9100.0,5,5,37
14700.0,14700.0,228,118,30
18300.0,18300.0,278,112,29
14700.0,14700.0,275,153,39
15700.0,15700.0,116,138,35
22300.0,22300.0,23,79,22
29400.0,29400.0,190,98,25
22300.0,22300.0,300,61,26
21300.0,21300.0,62,38,9
18300.0,18300.0,246,133,10
9100.0,9100.0,61,98,25
10100.0,10100.0,142,149,36
16200.0,16200.0,146,73,7
19800.0,19800.0,63,44,35
20300.0,20300.0,7,7,1
14700.0,14700.0,72,120,32
17200.0,17200.0,269,107,26
34400.0,34400.0,101,79,22
14700.0,14700.0,71,118,30
14200.0,14200.0,275,153,39
17200.0,17200.0,214,109,5
14700.0,14700.0,275,153,39
22400.0,22400.0,273,152,38
21300.0,21300.0,86,38,9
21300.0,21300.0,224,38,9
23400.0,23400.0,130,64,20
23400.0,23400.0,299,52,17
14700.0,14700.0,87,39,29
11500.0,11500.0,102,45,14
21300.0,21300.0,156,98,25
14700.0,14700.0,14,10,3
21300.0,21300.0,276,112,28
30400.0,30400.0,176,111,27
15200.0,15200.0,134,111,27
16200.0,16200.0,298,157,42
22300.0,22300.0,7,7,1
14700.0,14700.0,14,10,3
22300.0,22300.0,301,79,22
15200.0,15200.0,27,16,5
19800.0,19800.0,63,44,35
22300.0,22300.0,180,79,22
20300.0,20300.0,254,112,29
17300.0,17300.0,231,120,32
