NO,Order ID,SLS Tracking Number,Shopee Order SN,Sort Code Name,SOC Received time,OnHoldReason,Status,Order Account,Original ASF,Rounding ASF,Payment Method,Pickup Station,Destination Station,Next Station,Current Station,Channel
1,SPXID032015195479,ID236667315799U,230917K79M0Q64,PARIANGAN,2023-09-19 22:38:36,Normal,SOC_Packed,Economy Marketplace Delivery,55900,55900,COD,Jepara First Mile Hub,Lima Kaum Hub,Kapuk DC,Semarang DC,spx
2,SPXID033602126129,ID236419651756N,230917K3CWWN5G,NGLUYU,2023-09-19 22:42:05,Normal,SOC_LHTransporting,Economy Marketplace Delivery,48800,48800,COD,Jepara First Mile Hub,Gondang Hub,Surabaya DC,Semarang DC,spx
3,SPXID037690024299,ID234263932872R,230918KED69GX0,BUSUNGBIU,2023-09-19 22:44:30,Normal,SOC_LHTransporting,Economy Marketplace Delivery,28400,28400,COD,Jepara First Mile Hub,Seririt Hub,Surabaya DC,Semarang DC,spx
4,SPXID030354703119,ID2376474881652,230918KEWX9HM6,PEDURUNGAN,2023-09-19 20:58:05,Normal,SOC_LHTransporting,Economy Marketplace Delivery,14700,14700,NON-COD,Cimahi First Mile Hub,Pedurungan Hub,Semarang DC,Bandung DC,spx
5,SPXID030004779359,ID2325758529033,230918KDCRPG7B,CIKAMPEK,2023-09-19 20:28:04,Normal,SOC_LHTransporting,SPX Standard Marketplace,20300,20300,NON-COD,Jepara First Mile Hub,Purwasari Hub,Cakung DC,Semarang DC,spx
6,SPXID031693555799,ID2339480453952,230918KCGHJKN9,CILEUNGSI,2023-09-19 20:40:12,Normal,SOC_LHTransporting,SPX Standard Marketplace,18300,18300,COD,Jepara First Mile Hub,Cileungsi Hub,Depok DC,Semarang DC,spx
7,SPXID035524146559,ID2383900328765,230918KDTGD2KD,TAMBUN SELATAN,2023-09-19 20:09:11,Normal,SOC_LHTransporting,SPX Standard Marketplace,18300,18300,NON-COD,Jepara First Mile Hub,Tambun Selatan Hub,Cakung DC,Semarang DC,spx
8,SPXID036118056239,ID232609418885S,230918KDWHMQED,KELAPA DUA,2023-09-19 20:52:21,Normal,SOC_LHTransporting,SPX Standard Marketplace,18300,18300,COD,Jepara First Mile Hub,Kelapa Dua Hub,Cakung DC,Semarang DC,spx
9,SPXID037392302169,ID233440690328W,230917K9XJ27XQ,TAMPAN,2023-09-18 20:46:49,Normal,SOC_LHTransporting,SPX Standard Marketplace,34600,34600,NON-COD,Jepara First Mile Hub,Pekanbaru Hub,Kapuk DC,Semarang DC,spx
10,SPXID033995460999,ID231812120867O,230918KETU21WX,GEMUH,2023-09-19 01:13:20,Normal,SOC_LHTransported,Economy Marketplace Delivery,18300,18300,COD,Kebon Jeruk First Mile Hub,Weleri Hub,Weleri Hub,Semarang DC,spx
11,SPXID033422811939,ID238342365078V,230916G9TDMQ53,NUSAWUNGU,2023-09-20 00:39:14,Normal,SOC_LHTransporting,SPX Standard Marketplace,14200,14200,NON-COD,Semarang First Mile Hub,Kroya Hub,Tegal DC,Semarang DC,spx
12,SPXID032580456099,ID2368590501510,230917JEH5VQD6,CEPU,2023-09-19 16:40:27,Normal,SOC_Received,Economy Marketplace Delivery,21300,21300,COD,Sukmajaya First Mile Hub,Blora Hub,Blora Hub,Semarang DC,spx
13,SPXID031319800439,ID234035730338K,230917K9UPEA13,MENGANTI,2023-09-19 21:05:23,Normal,SOC_LHTransporting,Marketplace Collection,11000,11000,NON-COD,Jepara First Mile Hub,Menganti Hub,Surabaya DC,Semarang DC,spx
14,SPXID037854051509,ID231313704445V,230917KBDGYS6F,BUMI AGUNG,2023-09-19 22:40:48,Normal,SOC_LHTransporting,Marketplace Collection,19000,19000,COD,Jepara First Mile Hub,Way Kanan Hub,Cengkareng DC,Semarang DC,spx
15,SPXID038676098309,ID2324283935412,230917K3FX74R5,PERAK,2023-09-19 16:39:22,Normal,SOC_LHTransporting,Economy Marketplace Delivery,19800,19800,NON-COD,Kudus First Mile Hub,Jombang Hub,Surabaya DC,Semarang DC,spx
16,SPXID030921293169,ID235571595628Q,230916FY382QSN,PURWOSARI,2023-09-20 00:06:43,Normal,SOC_LHTransporting,SPX Standard Marketplace,11200,11200,COD,Semarang First Mile Hub,Padangan Hub,Surabaya DC,Semarang DC,spx
17,SPXID035926522069,ID239295479605W,230916FXT2CDBY,SRAGI,2023-09-19 23:55:39,Normal,SOC_LHTransporting,SPX Standard Marketplace,10100,10100,COD,Semarang First Mile Hub,Bojong Hub,Tegal DC,Semarang DC,spx
18,SPXID037255707519,ID236490829847J,230916FUHTEGM5,BUKATEJA,2023-09-20 00:17:04,Normal,SOC_LHPacking,SPX Standard Marketplace,9100,9100,COD,Semarang First Mile Hub,Purbalingga Hub,Tegal DC,Semarang DC,spx
19,SPXID035362461629,ID239404020320R,230917JJCXG6QQ,TLOGOWUNGU,2023-09-19 01:33:55,Normal,SOC_Packed,Marketplace Collection,11500,11500,COD,Taman Sari First Mile Hub,Pati Hub,Pati Hub,Semarang DC,spx
