NO,Original ASF,Rounding ASF,Payment Method_encoded,Channel_encoded,Order ID_encoded,SLS Tracking Number_encoded,Shopee Order SN_encoded,Sort Code Name_encoded,SOC Received time_encoded,OnHoldReason_encoded,Status_encoded,Order Account_encoded,Current Station_encoded,Pickup Station_encoded,Destination Station_encoded,Next Station_encoded
1.0,55900.0,55900.0,0,0,233,677,757,182,877,0,3,0,2,52,67,16
2.0,48800.0,48800.0,0,0,370,643,608,163,882,0,2,0,2,52,35,35
3.0,28400.0,28400.0,0,0,772,413,982,44,886,0,2,0,2,52,121,35
4.0,14700.0,14700.0,1,0,30,773,997,190,795,0,2,0,0,33,98,29
5.0,20300.0,20300.0,1,0,0,245,941,53,768,0,2,2,2,52,106,7
6.0,18300.0,18300.0,0,0,196,375,897,57,775,0,2,2,2,52,24,10
7.0,18300.0,18300.0,1,0,556,842,954,261,742,0,2,2,2,52,145,7
8.0,18300.0,18300.0,0,0,610,251,958,118,788,0,2,2,2,52,54,7
9.0,34600.0,34600.0,1,0,747,327,822,262,132,0,2,2,2,52,99,16
10.0,18300.0,18300.0,0,0,404,169,995,76,523,0,1,0,2,61,157,42
11.0,14200.0,14200.0,1,0,356,836,45,166,961,0,2,2,2,106,62,37
12.0,21300.0,21300.0,0,0,283,697,302,51,657,0,4,0,2,115,16,5
13.0,11000.0,11000.0,1,0,153,385,821,152,801,0,2,1,2,52,76,35
14.0,19000.0,19000.0,0,0,791,127,859,43,881,0,2,1,2,52,156,8
15.0,19800.0,19800.0,1,0,863,224,615,195,652,0,2,0,2,70,44,35
16.0,11200.0,11200.0,0,0,113,559,31,211,952,0,2,2,2,106,85,35
17.0,10100.0,10100.0,0,0,594,924,29,240,948,0,2,2,2,106,20,37
18.0,9100.0,9100.0,0,0,734,652,27,40,955,0,0,2,2,106,103,37
19.0,11500.0,11500.0,0,0,538,932,340,281,532,0,3,1,2,117,96,24
20.0,16200.0,16200.0,1,0,735,578,122,256,629,0,1,2,4,100,42,29
21.0,23400.0,23400.0,1,0,118,829,813,97,576,0,3,2,2,65,42,13
22.0,21300.0,21300.0,0,0,833,473,150,218,580,0,1,2,2,86,157,42
23.0,15200.0,15200.0,1,0,215,674,967,240,845,0,2,2,2,52,20,37
24.0,21300.0,21300.0,1,0,310,974,709,292,826,0,2,2,1,59,155,29
25.0,21300.0,21300.0,0,0,930,65,281,110,649,0,4,2,2,115,30,9
26.0,10100.0,10100.0,0,0,73,630,24,120,956,0,2,2,2,106,9,13
27.0,11200.0,11200.0,0,0,264,982,19,274,960,0,2,2,2,106,130,35
28.0,9100.0,9100.0,1,0,573,776,18,5,962,0,4,2,2,106,5,37
29.0,14700.0,14700.0,0,0,621,233,157,228,623,0,0,0,2,78,118,30
30.0,18300.0,18300.0,0,0,944,433,702,278,794,0,2,0,1,88,112,29
31.0,14700.0,14700.0,1,0,149,137,881,275,630,0,3,0,2,84,153,39
32.0,15700.0,15700.0,0,0,635,851,621,116,653,0,2,0,2,70,138,35
33.0,22300.0,22300.0,0,0,505,202,547,23,577,0,0,2,2,65,79,22
34.0,29400.0,29400.0,1,0,925,412,985,190,559,0,0,0,2,125,98,25
35.0,22300.0,22300.0,1,0,183,67,543,300,330,0,3,0,2,9,61,26
36.0,21300.0,21300.0,1,0,241,532,123,62,208,0,0,2,2,89,38,9
37.0,18300.0,18300.0,1,0,564,138,12,246,529,0,2,2,2,106,133,10
38.0,9100.0,9100.0,0,0,576,418,11,61,515,0,3,2,2,106,98,25
39.0,10100.0,10100.0,0,0,805,712,8,142,945,0,2,2,2,106,149,36
40.0,16200.0,16200.0,0,0,116,458,921,146,14,0,1,0,2,70,73,7
41.0,19800.0,19800.0,1,0,851,451,636,63,692,0,2,0,2,70,44,35
42.0,20300.0,20300.0,0,0,512,909,348,7,588,0,4,2,2,65,7,1
43.0,14700.0,14700.0,1,0,581,484,407,72,386,0,0,0,2,59,120,32
44.0,17200.0,17200.0,0,0,448,377,568,269,442,0,2,2,2,64,107,26
45.0,34400.0,34400.0,0,0,685,678,218,101,772,0,4,2,2,71,79,22
46.0,14700.0,14700.0,0,0,181,371,309,71,477,0,4,0,2,119,118,30
47.0,14200.0,14200.0,0,0,839,339,48,275,696,0,4,0,2,45,153,39
48.0,17200.0,17200.0,0,0,803,625,962,214,220,0,3,2,2,20,109,5
49.0,14700.0,14700.0,0,0,286,992,665,275,30,0,4,0,2,44,153,39
50.0,22400.0,22400.0,0,0,141,73,268,273,575,0,0,2,2,65,152,38
51.0,21300.0,21300.0,0,0,591,864,223,86,597,0,2,2,2,65,38,9
52.0,21300.0,21300.0,0,0,659,189,258,224,578,0,2,2,2,65,38,9
53.0,23400.0,23400.0,0,0,745,62,323,130,622,0,4,2,2,65,64,20
54.0,23400.0,23400.0,0,0,878,7,315,299,598,0,3,2,2,65,52,17
55.0,14700.0,14700.0,1,0,323,642,720,87,102,0,2,0,1,56,39,29
56.0,11500.0,11500.0,1,0,203,661,830,102,502,0,3,1,2,119,45,14
57.0,21300.0,21300.0,0,0,401,503,760,156,409,0,4,2,2,39,98,25
58.0,14700.0,14700.0,1,0,638,316,189,14,262,0,0,0,2,26,10,3
59.0,21300.0,21300.0,1,0,462,425,497,276,359,0,4,2,2,39,112,28
60.0,30400.0,30400.0,0,0,92,154,243,176,116,0,2,2,2,7,111,27
61.0,15200.0,15200.0,0,0,230,108,637,134,124,0,2,2,2,7,111,27
62.0,16200.0,16200.0,0,0,856,455,178,298,18,0,3,2,2,79,157,42
63.0,22300.0,22300.0,1,0,770,689,739,7,266,0,4,0,2,10,7,1
64.0,14700.0,14700.0,1,0,57,922,846,14,250,0,3,0,2,113,10,3
65.0,22300.0,22300.0,0,0,391,707,205,301,597,0,0,2,2,65,79,22
